,Nom Officiel Département,Code Officiel Commune,Nom Officiel Commune,population,latitude,longitude,is_prefecture,is_sous_prefecture
323,Nord,59033,Aulnoye-Aymeries,8756.0,50.25,3.850006,False,False
324,Nord,59074,Bertry,2148.0,50.05,3.449997,False,False
325,Nord,59077,Bettrechies,258.0,50.35,3.75,False,False
326,Nord,59101,Bousignies-sur-Roc,376.0,50.25,4.149994,False,False
327,Nord,59106,Bouvines,755.0,50.55,3.149994,False,False
328,Nord,59123,Camphin-en-Carembault,1714.0,50.55,2.949997,False,False
329,Nord,59165,Cuincy,6472.0,50.35,3.050003,False,False
330,Nord,59207,Escautpont,4152.0,50.45,3.550003,False,False
331,Nord,59267,Gonnelieu,289.0,50.05,3.149994,False,False
332,Nord,59350,Lille,236710.0,50.65,3.050003,True,False
333,Nord,59387,Marquette-en-Ostrevant,1931.0,50.25,3.25,False,False
334,Nord,59409,Monchecourt,2501.0,50.35,3.25,False,False
335,Nord,59418,Mortagne-du-Nord,1584.0,50.55,3.449997,False,False
336,Nord,59435,Nomain,2585.0,50.55,3.25,False,False
337,Nord,59448,Oost-Cappel,472.0,50.95,2.550003,False,False
338,Nord,59478,Quaëdypre,1121.0,50.95,2.449997,False,False
339,Nord,59481,Le Quesnoy,4852.0,50.25,3.649994,False,False
340,Nord,59485,Quiévy,1801.0,50.15,3.449997,False,False
341,Nord,59516,Rubrouck,919.0,50.85,2.350006,False,False
342,Nord,59521,Sailly-lez-Cambrai,422.0,50.25,3.149994,False,False
343,Nord,59526,Saint-Amand-les-Eaux,15980.0,50.45,3.449997,False,False
344,Nord,59596,Tilloy-lez-Marchiennes,528.0,50.45,3.350006,False,False
345,Nord,59614,Viesly,1379.0,50.15,3.449997,False,False
346,Nord,59649,Wattignies-la-Victoire,241.0,50.25,4.050003,False,False
347,Oise,60041,Bailleul-sur-Thérain,2323.0,49.35,2.25,False,False
348,Oise,60056,Beaurepaire,65.0,49.25,2.550003,False,False
349,Oise,60060,Belle-Église,690.0,49.15,2.25,False,False
350,Oise,60091,Bouillancy,422.0,49.15,2.949997,False,False
351,Oise,60120,Cambronne-lès-Clermont,1211.0,49.35,2.350006,False,False
352,Oise,60153,Choqueuse-les-Bénards,102.0,49.65,2.050003,False,False
353,Oise,60168,Courcelles-Epayelles,214.0,49.55,2.649994,False,False
354,Oise,60237,Fléchy,87.0,49.65,2.25,False,False
355,Oise,60261,Fresnoy-le-Luat,542.0,49.25,2.75,False,False
356,Oise,60443,Muirancourt,586.0,49.65,3.050003,False,False
357,Oise,60528,Reilly,120.0,49.25,1.8500061,False,False
358,Oise,60540,Rivecourt,625.0,49.35,2.75,False,False
359,Oise,60564,Sains-Morainvillers,285.0,49.55,2.449997,False,False
360,Oise,60566,Saint-Arnoult,200.0,49.65,1.8500061,False,False
361,Oise,60584,Saint-Leu-d'Esserent,4606.0,49.25,2.449997,False,False
362,Oise,60587,Saint-Martin-Longueau,1442.0,49.35,2.649994,False,False
363,Oise,60642,Tracy-le-Val,1053.0,49.45,3.050003,False,False
364,Oise,60651,Ully-Saint-Georges,1911.0,49.25,2.25,False,False
365,Oise,60688,Villers-sur-Bonnières,150.0,49.55,1.949997,False,False
